Species,Longitude,Latitude,Station,Date,Tavg,WetBulb,PrecipTotal,AvgSpeed,WnvPresent
CULEX PIPIENS,-87.676709,41.688324,2.0,2007-09-05,82.0,69.0,0.0,6.7,1
CULEX PIPIENS,-87.599862,41.673408,2.0,2007-09-05,82.0,69.0,0.0,6.7,1
CULEX PIPIENS,-87.66634300000001,41.822536,2.0,2007-09-05,82.0,69.0,0.0,6.7,1
CULEX PIPIENS,-87.536497,41.702723999999996,2.0,2007-09-05,82.0,69.0,0.0,6.7,1
CULEX PIPIENS/RESTUANS,-87.64886,41.862292,2.0,2007-09-05,82.0,69.0,0.0,6.7,1
CULEX PIPIENS,-87.648064,41.721474,2.0,2007-09-05,82.0,69.0,0.0,6.7,1
CULEX PIPIENS,-87.72460799999999,41.662014,2.0,2007-09-05,82.0,69.0,0.0,6.7,1
CULEX PIPIENS/RESTUANS,-87.677512,41.731922,2.0,2007-09-05,82.0,69.0,0.0,6.7,1
CULEX PIPIENS/RESTUANS,-87.648064,41.721474,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS/RESTUANS,-87.64997,41.723195000000004,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS,-87.64997,41.723195000000004,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS/RESTUANS,-87.666901,41.868077,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS/RESTUANS,-87.72460799999999,41.662014,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS/RESTUANS,-87.707973,41.682587,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS,-87.707973,41.682587,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS,-87.61425799999999,41.725516999999996,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS/RESTUANS,-87.69629300000001,41.869107,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS,-87.666014,41.720848,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS,-87.69629300000001,41.869107,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS,-87.675088,41.719059,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS,-87.598865,41.692555,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS,-87.68826700000001,41.903002,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS/RESTUANS,-87.77653199999999,41.781416,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS/RESTUANS,-87.60088,41.773215,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS,-87.60088,41.773215,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
CULEX PIPIENS,-87.677512,41.731922,2.0,2007-09-05,82.0,69.0,0.0,6.7,0
